company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
Tennessee Titans,2075000.0,1547500.0,767500.0,260000.0,102500.0,90000.0,52500.0,52500.0,90000.0,102500.0,90000.0,140000.0,140000.0,90000.0,230000.0,160000.0,160000.0,192500.0,155000.0,160000.0,260000.0,
Maximus,2037500.0,1327500.0,565000.0,85000.0,102500.0,102500.0,160000.0,122500.0,160000.0,97500.0,85000.0,85000.0,122500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,85000.0,
Tennessee Public and Teaching Hospital Association,2025000.0,1090000.0,527500.0,85000.0,85000.0,85000.0,122500.0,160000.0,172500.0,160000.0,160000.0,160000.0,80000.0,122500.0,65000.0,172500.0,122500.0,160000.0,122500.0,160000.0,85000.0,
Pharmaceutical Research And Manufacturers of America,1980000.0,1510000.0,665000.0,172500.0,85000.0,65000.0,85000.0,45000.0,85000.0,85000.0,85000.0,85000.0,85000.0,160000.0,160000.0,160000.0,280000.0,160000.0,160000.0,172500.0,172500.0,
Tennessean'S For Quality Early Education,1972500.0,1907500.0,1275000.0,342500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65000.0,65000.0,102500.0,85000.0,155000.0,225000.0,430000.0,242500.0,260000.0,342500.0,
Novartis,1892500.0,992500.0,392500.0,105000.0,122500.0,85000.0,160000.0,155000.0,170000.0,132500.0,122500.0,160000.0,142500.0,105000.0,142500.0,105000.0,105000.0,97500.0,85000.0,105000.0,105000.0,
Centene - Wellcare,1870000.0,1725000.0,1240000.0,260000.0,0.0,0.0,0.0,0.0,122500.0,0.0,0.0,22500.0,65000.0,45000.0,57500.0,145000.0,172500.0,260000.0,310000.0,410000.0,260000.0,
Tennessee Hospitality & Tourism Association,1857500.0,1035000.0,427500.0,160000.0,32500.0,130000.0,110000.0,110000.0,97500.0,135000.0,185000.0,185000.0,147500.0,147500.0,55000.0,135000.0,122500.0,85000.0,97500.0,85000.0,160000.0,
Tennessee Association Of Realtors,1852500.0,1452500.0,532500.0,160000.0,45000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,300000.0,210000.0,230000.0,160000.0,160000.0,160000.0,122500.0,90000.0,160000.0,160000.0,
Piedmont Natural Gas,1850000.0,1190000.0,615000.0,210000.0,122500.0,122500.0,85000.0,122500.0,122500.0,85000.0,122500.0,122500.0,122500.0,122500.0,160000.0,85000.0,85000.0,122500.0,122500.0,160000.0,210000.0,
Volkswagen,1845000.0,1227500.0,602500.0,122500.0,45000.0,97500.0,122500.0,85000.0,85000.0,85000.0,117500.0,122500.0,85000.0,85000.0,135000.0,160000.0,160000.0,160000.0,160000.0,160000.0,122500.0,
Tennessee Infrastructure Alliance,1837500.0,697500.0,182500.0,115000.0,0.0,0.0,0.0,0.0,0.0,0.0,585000.0,555000.0,325000.0,75000.0,35000.0,57500.0,22500.0,22500.0,0.0,45000.0,115000.0,
Tennessee Manufactured Housing Association,1837500.0,1290000.0,640000.0,160000.0,85000.0,85000.0,122500.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
United Healthcare,1822500.0,762500.0,340000.0,85000.0,320000.0,302500.0,260000.0,160000.0,160000.0,160000.0,160000.0,160000.0,122500.0,45000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,
Nashville Convention And Visitors Bureau,1815000.0,1452500.0,940000.0,210000.0,45000.0,32500.0,45000.0,20000.0,45000.0,65000.0,65000.0,122500.0,135000.0,85000.0,85000.0,85000.0,122500.0,210000.0,260000.0,260000.0,210000.0,
HCA Healthcare,1780000.0,720000.0,0.0,0.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,260000.0,360000.0,360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Drd Management,1775000.0,1215000.0,640000.0,160000.0,85000.0,85000.0,85000.0,97500.0,85000.0,85000.0,122500.0,85000.0,85000.0,85000.0,85000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Associated Builders & Contractors (All Tennessee Chapters),1765000.0,1315000.0,982500.0,325000.0,85000.0,85000.0,85000.0,85000.0,85000.0,85000.0,65000.0,45000.0,20000.0,20000.0,65000.0,142500.0,85000.0,197500.0,205000.0,255000.0,325000.0,
Pfizer,1760000.0,760000.0,377500.0,85000.0,57500.0,97500.0,150000.0,130000.0,130000.0,57500.0,77500.0,455000.0,85000.0,45000.0,102500.0,65000.0,85000.0,122500.0,85000.0,85000.0,85000.0,
