company_name,year,amount
Cratz Inspection Services Inc. D/B/A Sealmaster,2014,552500.0
"Crawford, Murphy & Tilly, Inc.",2018,360000.0
Crc Health Tennessee,2011,225000.0
Creative Discovery Museum,2020,60000.0
Crisis Prevention Institute,2015,142500.0
Crispr Therapeutics,2020,75000.0
Crispr Tx,2019,45000.0
"Critical Nurse Staffing, Llc",2018,447500.0
Critical Response Group,2023,172500.0
"Crossfit, Inc.",2019,250000.0
Crossroads Treatment Centers,2025,10000.0
"Crosstown Building Owner, Llc",2015,52500.0
Crown Castle,2024,52500.0
Crown Castle Ng Central Llc,2018,52500.0
"Crown Cork & Seal Company, Inc.",2012,75000.0
Cruise Llc,2023,72500.0
Csl Behring,2019,272500.0
Cswr,2025,10000.0
Ctia - The Wireless Association,2017,112500.0
Cultivate Tennessee,2022,122500.0
Cumberland Area Development Corp.,2021,155000.0
"Cumberland Cliffs, Llc",2019,322500.0
Cumberland Hospitality Group,2022,32500.0
Cumberland Pharmaceuticals,2020,20000.0
Cumberland University,2020,32500.0
Cumberlandmountainpreservationcoalition,2016,62500.0
Cummins Inc,2021,90000.0
"Curriculum Advantage, Inc.",2014,32500.0
"Curriculum Associates, Llc",2015,552500.0
D&S Residential Services Lp,2011,685000.0
"D/B/A Jewish Federations Of Chattanooga, Knoxville, Memphis, Nashville",2021,190000.0
Dan McEwen,2023,280000.0
Danaher Diagnostics,2025,20000.0
Dancing Bear Operations Company Llc,2014,62500.0
"Daon, Inc.",2011,32500.0
"Darden, Inc.",2014,45000.0
Data Recognition Corporation,2016,40000.0
Datavant C/O Multistate Associates Llc,2023,55000.0
"Dave & Buster'S, Inc.",2015,32500.0
Davidson County Emergency Communications District,2020,277500.0
"Dci Group Az, L.L.C. On Behalf Of Altria Client Services Llc",2018,32500.0
"Delaware North Companies Gaming & Entertainment, Inc.",2015,465000.0
Delek Us Holdings,2013,105000.0
Deliver The American Dream,2025,32500.0
Dell Technologies Inc. C/O 50 To 1 Llc,2023,170000.0
Dell Technologies Inc. C/O Vantage Compliance,2025,42500.0
Deloitte Consulting Llp,2012,940000.0
Delta T Corporation Dba Big Ass Solutions,2016,390000.0
"Dement Construction Company, Llc",2017,407500.0
Dennis Huffer-Former State Employee,2016,30000.0
"Denso International America, Inc.",2022,167500.0
Dentaquest Of Tennessee Llc,2013,1025000.0
Devry University,2021,42500.0
Dew Investments,2020,20000.0
"Dexcom, Inc.",2018,402500.0
Dga Residential Llc,2023,180000.0
Diageo North America,2013,1085000.0
Diatech Oncology,2013,32500.0
"Digital Sandbox, Llc Dba Haystax",2023,62500.0
Diramed,2014,20000.0
Disability Law & Advocacy Center,2012,40000.0
Disability Rights Tennessee,2014,210000.0
Discovery,2017,182500.0
"Discovery Communications, Llc And Affiliates",2022,67500.0
"Discovery Place, Inc.",2020,32500.0
"Discovery, Inc.",2018,20000.0
Disposerx,2020,52500.0
"Diverse Concepts, Llc",2023,20000.0
Dixon Shane Llc,2017,52500.0
Do No Harm,2022,75000.0
Do No Harm Action,2023,262500.0
"Docusign, Inc.",2016,52500.0
Doe Mountain Recreation Authority,2022,95000.0
Dollar General,2013,60000.0
"Doordash, Inc.",2023,62500.0
Doug H. Ibbetson,2025,10000.0
Doug Towne Inc Dba Disability Relations Group,2018,10000.0
"Douglas J Institute, Inc",2023,50000.0
Draftkings Inc. And Its Affiliates,2025,20000.0
"Draftkings, Inc.",2015,567500.0
Dragon City,2024,85000.0
Dragonfly Medical And Behavioral Health,2021,20000.0
Dreamfest Llc,2017,10000.0
Drivers History Inc.,2014,10000.0
"Drizly, Inc.",2018,65000.0
Ductile Iron Pipe Research Association,2014,347500.0
Dui Education Centers,2016,137500.0
Dvl Seigenthaler,2015,10000.0
"Dx Management, Llc",2021,20000.0
"Dx Operations, Llc",2025,32500.0
Dxc Technology Company,2017,287500.0
E3 Costruction Services Llc,2023,122500.0
"Eagle Engineering, Llc",2013,65000.0
"Ean Holdings, Llc And Its Affiliates Dba Enterprise Mobility",2024,170000.0
East Tennessee Children'S Hospital,2018,197500.0
"Easy Auto Credit, Inc.",2021,345000.0
Ebay,2015,1342500.0
"Ebci Holdings, Llc",2023,207500.0
"Ebsco Industries, Inc.",2021,155000.0
Ebth.Com Llc,2018,20000.0
Ecl Entertainment Llc,2021,292500.0
Ecolane,2020,280000.0
"Ecp-Pf Holdings Group, Inc.",2020,62500.0
Edchoice,2024,85000.0
Edgenuity,2013,702500.0
"Edison Electric, Llc",2022,237500.0
Edmc,2011,180000.0
Edmentum,2020,217500.0
Educational Testing Service,2017,550000.0
Educopia,2017,75000.0
Edward D. Jones & Co.,2025,10000.0
Eecs Llc,2013,30000.0
"Ehawk, Inc.",2017,82500.0
Ehc Medical Office,2015,280000.0
Eight Eleven Group Llc,2025,42500.0
Eisai Inc.,2011,40000.0
Eiwpf,2022,245000.0
"Elan Skin, Llc",2015,90000.0
Electric Reliability Coordinating Council,2011,10000.0
Electrify America,2022,20000.0
Electrify America Llc,2023,52500.0
Electrolux North America,2013,140000.0
Electronic Knowledge Interchange Company_Dba Eki Digital,2023,32500.0
Electronic Transactions Association,2024,62500.0
Ellucian,2021,357500.0
Elmington Capital,2022,55000.0
"Elvis Presley Enterprises, Inc.",2014,685000.0
"Emc - State Partners, Llc",2013,65000.0
Emdeon,2012,112500.0
"Emed Labs, Llc",2022,127500.0
"Emed, Llc",2025,10000.0
Emerald Youth Foundation,2025,22500.0
Emergency Care Research Institute(Ecri),2023,32500.0
Emergent Biosolutions,2019,332500.0
"Emmaus Billing And Consulting, Llc",2014,107500.0
Employers Holding Inc,2015,175000.0
"Empower Electric, Llc",2023,32500.0
Empower Schools,2022,87500.0
Enbridge,2021,895000.0
Enclara Pharmacia C/O Multistate Associates Inc.,2019,20000.0
Encode Ai Corporation,2025,10000.0
"End Chronic Disease, Inc.",2025,32500.0
Endo Pharmaceuticals,2011,107500.0
Energy Security Aag,2016,45000.0
"Energy Systems Group, Llc",2021,342500.0
"Engie Holdings, Inc.",2020,140000.0
England Bros. Woodlake Golf & Country Club Llc,2011,20000.0
Enhanced Capital Group,2015,232500.0
Enova Online Services,2015,1032500.0
"Enovate Medical, Llc",2020,40000.0
"Enstructure, Llc",2025,22500.0
Entegrity Energy Partners,2021,137500.0
"Entergy Arkansas, Inc.",2017,42500.0
Enterprise Asset Intelligence Coalition Llc,2020,20000.0
"Environmental Litigation Group, P.C.",2018,40000.0
Envision Healthcare,2023,20000.0
"Epic Pharmacies, Inc. C/O Multistate Associates Inc.",2012,445000.0
Epilepsy Foundation Of East Tennessee,2015,20000.0
Epilepsy Foundation Of Middle And West Tn,2015,90000.0
Epsilen Llc,2011,102500.0
Equifax,2020,935000.0
"Eric A. Gang & Associates, P.A.",2024,137500.0
Ernst & Young Llp,2017,765000.0
Esper Regulatory Technologies Inc.,2025,22500.0
"Eubank Asphalt Paving & Sealing, Llc",2025,42500.0
Evans Petree Pc,2020,195000.0
Evergreen Packaging Inc.,2011,600000.0
Everytown For Gun Safety Action Fund,2015,1267500.0
Evicore Healthcare,2015,152500.0
"Evolveware, Inc.",2023,20000.0
Exact Sciences,2024,20000.0
Excel In Ed,2013,352500.0
Exeter,2015,85000.0
Exile Co,2014,10000.0
Exit One Llc,2015,32500.0
Expedia Group,2019,260000.0
"Expedia Group, Inc.",2025,10000.0
Experian,2014,22500.0
"Extract Wellness, Llc",2018,22500.0
Facebook Inc.,2018,335000.0
Fact,2025,42500.0
Fair Elections Center,2023,60000.0
Families Against Mandatory Minimums,2018,200000.0
"Family First, Inc.",2022,145000.0
Family Reunion,2018,130000.0
Fanduel,2020,497500.0
