company_name,filing_period_raw,filing_period_display,end_year,lobbyist_compensation,lobbying_related_expenses,total
Aarp,2018-01-01-2018-06-30,Jan–Jun 2018,2018,175000.0,17500.0,192500.0
Aarp,2017-07-01-2017-12-31,Jul–Dec 2017,2017,75000.0,5000.0,80000.0
Aarp,2017-01-01-2017-06-30,Jan–Jun 2017,2017,125000.0,5000.0,130000.0
Aarp,2016-07-01-2016-12-31,Jul–Dec 2016,2016,75000.0,5000.0,80000.0
Aarp,2016-01-01-2016-06-30,Jan–Jun 2016,2016,125000.0,5000.0,130000.0
Aarp,2015-07-01-2015-12-31,Jul–Dec 2015,2015,125000.0,5000.0,130000.0
Aarp,2015-01-01-2015-06-30,Jan–Jun 2015,2015,75000.0,5000.0,80000.0
Aarp,2014-07-01-2014-12-31,Jul–Dec 2014,2014,37500.0,5000.0,42500.0
Aarp,2014-01-01-2014-06-30,Jan–Jun 2014,2014,37500.0,5000.0,42500.0
Aarp,2013-07-01-2013-12-31,Jul–Dec 2013,2013,37500.0,5000.0,42500.0
Aarp,2013-01-01-2013-06-30,Jan–Jun 2013,2013,37500.0,5000.0,42500.0
Aarp,2012-07-01-2012-12-31,Jul–Dec 2012,2012,5000.0,5000.0,10000.0
Aarp,2012-01-01-2012-06-30,Jan–Jun 2012,2012,5000.0,5000.0,10000.0
Aarp,2011-04-01-2011-12-31,Apr–Dec 2011,2011,17500.0,17500.0,35000.0
Aarp,2010-10-01-2011-03-31,Oct–Mar 2011,2011,17500.0,17500.0,35000.0
Abbott Laboratories,2023-07-01-2023-12-31,Jul–Dec 2023,2023,5000.0,5000.0,10000.0
Abbott Laboratories,2015-07-01-2015-12-31,Jul–Dec 2015,2015,5000.0,5000.0,10000.0
Abbott Laboratories,2012-07-01-2012-12-31,Jul–Dec 2012,2012,5000.0,17500.0,22500.0
Abbott Laboratories,2012-01-01-2012-06-30,Jan–Jun 2012,2012,5000.0,17500.0,22500.0
Abbott Laboratories,2011-04-01-2011-12-31,Apr–Dec 2011,2011,37500.0,5000.0,42500.0
Abbott Laboratories,2010-10-01-2011-03-31,Oct–Mar 2011,2011,17500.0,5000.0,22500.0
Abbvie Inc.,2025-07-01-2025-12-31,Jul–Dec 2025,2025,5000.0,5000.0,10000.0
Abbvie Inc.,2025-01-01-2025-06-30,Jan–Jun 2025,2025,17500.0,5000.0,22500.0
Abbvie Inc.,2018-07-01-2018-12-31,Jul–Dec 2018,2018,125000.0,5000.0,130000.0
Abbvie Inc.,2018-01-01-2018-06-30,Jan–Jun 2018,2018,125000.0,5000.0,130000.0
Abbvie Inc.,2017-07-01-2017-12-31,Jul–Dec 2017,2017,125000.0,5000.0,130000.0
Abbvie Inc.,2017-01-01-2017-06-30,Jan–Jun 2017,2017,37500.0,37500.0,75000.0
Abbvie Inc.,2016-07-01-2016-12-31,Jul–Dec 2016,2016,5000.0,5000.0,10000.0
Abbvie Inc.,2016-01-01-2016-06-30,Jan–Jun 2016,2016,5000.0,37500.0,42500.0
Abbvie Inc.,2015-07-01-2015-12-31,Jul–Dec 2015,2015,17500.0,5000.0,22500.0
Abe'S Garden,2012-07-01-2012-12-31,Jul–Dec 2012,2012,5000.0,5000.0,10000.0
Abilis Solutions Corp,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
Abilis Solutions Corp,2022-01-01-2022-06-30,Jan–Jun 2022,2022,75000.0,5000.0,80000.0
Abilis Solutions Corp,2021-07-01-2021-12-31,Jul–Dec 2021,2021,17500.0,5000.0,22500.0
Abilis Solutions Corp,2021-01-01-2021-06-30,Jan–Jun 2021,2021,5000.0,5000.0,10000.0
"Absolute Wireless, Llc",2015-01-01-2015-06-30,Jan–Jun 2015,2015,5000.0,5000.0,10000.0
Acadia Healthcare,2025-07-01-2025-12-31,Jul–Dec 2025,2025,37500.0,5000.0,42500.0
Acadia Healthcare,2025-01-01-2025-06-30,Jan–Jun 2025,2025,37500.0,5000.0,42500.0
Acadia Healthcare,2024-07-01-2024-12-31,Jul–Dec 2024,2024,37500.0,5000.0,42500.0
Acadia Healthcare,2024-01-01-2024-06-30,Jan–Jun 2024,2024,37500.0,5000.0,42500.0
