entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Community Health Systems,,1827500.0,1300000.0,612500.0,85000.0,True,Company,0,556590.0,415290.0,268090.0,63800.0,True,0.0,0.0,0.0,0.0,0.0,False,2384090.0,1715290.0,880590.0,148800.0,True,True,True,True
United Healthcare,,1562500.0,922500.0,425000.0,85000.0,True,Company,0,787550.0,669550.0,298000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,2350050.0,1592050.0,723000.0,85000.0,True,True,True,True
Tennessee Secondary School Athletic Association,,2315000.0,1975000.0,1200000.0,210000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2315000.0,1975000.0,1200000.0,210000.0,True,True,True,True
Tennessee Wine And Spirits Retailers Association,,1265000.0,925000.0,500000.0,160000.0,True,Company,0,1027791.0,725500.0,435500.0,121250.0,True,0.0,0.0,0.0,0.0,0.0,False,2292791.0,1650500.0,935500.0,281250.0,True,True,True,True
Pharmaceutical Research And Manufacturers Of America,,1895000.0,1595000.0,945000.0,172500.0,True,Company,0,385100.0,326600.0,171250.0,26750.0,True,0.0,0.0,0.0,0.0,0.0,False,2280100.0,1921600.0,1116250.0,199250.0,True,True,True,True
Tennessee Charter School Center,,2227500.0,1550000.0,787500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2227500.0,1550000.0,787500.0,160000.0,True,True,True,True
Humana,,2102500.0,1612500.0,800000.0,160000.0,True,Company,0,119900.0,111400.0,24000.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,2222400.0,1723900.0,824000.0,160000.0,True,True,True,True
Fedex,,495000.0,352500.0,215000.0,20000.0,True,Company,0,1708116.0,1089800.0,437650.0,49350.0,True,0.0,0.0,0.0,0.0,0.0,False,2203116.0,1442300.0,652650.0,69350.0,True,True,True,True
Regional One Health,,2202500.0,1600000.0,800000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2202500.0,1600000.0,800000.0,160000.0,True,True,True,True
Tennessee Manufactured Housing Association,,1715000.0,1375000.0,800000.0,160000.0,True,Company,0,484750.0,389750.0,247250.0,117000.0,True,0.0,0.0,0.0,0.0,0.0,False,2199750.0,1764750.0,1047250.0,277000.0,True,True,True,True
Center For Individual Freedom,,2147500.0,2147500.0,2147500.0,467500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2147500.0,2147500.0,2147500.0,467500.0,True,True,True,True
Tennessee Dental Association,,987500.0,647500.0,382500.0,85000.0,True,Company,0,1134450.0,770950.0,351000.0,41500.0,True,0.0,0.0,0.0,0.0,0.0,False,2121950.0,1418450.0,733500.0,126500.0,True,True,True,True
Tennessee Trucking Association,,937500.0,757500.0,425000.0,85000.0,True,Company,0,1184050.0,982400.0,601000.0,122000.0,True,0.0,0.0,0.0,0.0,0.0,False,2121550.0,1739900.0,1026000.0,207000.0,True,True,True,True
Delta Dental,,1680000.0,1600000.0,800000.0,160000.0,True,Company,0,429300.0,261550.0,158900.0,68900.0,True,0.0,0.0,0.0,0.0,0.0,False,2109300.0,1861550.0,958900.0,228900.0,True,True,True,True
