politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Maxwell, Stephen",Stephen Maxwell (Independent of Nashville),Independent,Nashville,Campaign Account,No,,No
"Stein, Mike",Mike Stein (Democrat of Manchester),Democrat,Manchester,Campaign Account,No,,Yes
"Southerland, Steve",Steve Southerland (Republican of Morristown),Republican,Morristown,Campaign Account,Yes,Senate District 9,Yes
"Howard, Dewayne",Dewayne Howard (Republican of Sparta),Republican,Sparta,Campaign Account,No,,No
"Cody, Kenny",Kenny Cody (Republican of Cosby),Republican,Cosby,Campaign Account,No,,Yes
"Chism, Jesse",Jesse Chism (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,House of Representatives 85,Yes
"Stewart, Brian",Brian Stewart (Republican of Hendersonville),Republican,Hendersonville,Campaign Account,No,,Yes
"Baker, Butch",Butch Baker (Republican of Lebanon),Republican,Lebanon,Campaign Account,No,,Yes
"Ewing, Rick",Rick Ewing (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,Yes
"Keenan, Perry",Perry Keenan (Republican of Pleasant View),Republican,Pleasant View,Campaign Account,No,,Yes
"Mills, Amber",Amber Mills (Republican of Memphis),Republican,Memphis,Campaign Account,No,,Yes
"Darby, Tandy",Tandy Darby (Republican of Greenfield),Republican,Greenfield,Campaign Account,Yes,House of Representatives 76,Yes
"Miller, Bethany",Bethany Miller (Democrat of Bolivar),Democrat,Bolivar,Campaign Account,No,,Yes
"Bavendam, Tamara",Tamara Bavendam (Democrat of Springfield),Democrat,Springfield,Campaign Account,No,,Yes
"Abidi, Misam",Misam Abidi (Independent of Nolensville),Independent,Nolensville,Campaign Account,No,,Yes
"Petit, Samantha",Samantha Petit (Democrat of Mcminnville),Democrat,Mcminnville,Campaign Account,No,,Yes
"Farnsworth, Owen",Owen Farnsworth (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,Yes
"Kurtz, Adam",Adam Kurtz (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,Yes
"Greer, John",John Greer (Republican of Burns),Republican,Burns,Campaign Account,No,,No
"Franklin, Telisa",Telisa Franklin (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,Yes
"Johnson, Andrea Bond",Andrea Bond Johnson (Democrat of Brownsville),Democrat,Brownsville,Campaign Account,No,,No
"Thomas, Jayla",Jayla Thomas (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Watson, Bo",Bo Watson (Republican of Hixson),Republican,Hixson,Campaign Account,Yes,Senate District 11,Yes
"Miller, David",David Miller (Democrat of Oak Ridge),Democrat,Oak Ridge,Campaign Account,No,,Yes
"Hughes, Chris",Chris Hughes (Republican of Hendersonville),Republican,Hendersonville,Campaign Account,No,,Yes
"Pohlgeers, Dan",Dan Pohlgeers (Republican of Gray),Republican,Gray,Campaign Account,No,,Yes
Tennessee Republican Caucus,Tennessee Republican Caucus (Republican),Republican,,Pac,No,,No
"Powers, Dennis",Dennis Powers (Republican of Jacksboro),Republican,Jacksboro,Campaign Account,Yes,House of Representatives 36,Yes
"Boyd, Clark",Clark Boyd (Republican of Lebanon),Republican,Lebanon,Campaign Account,Yes,House of Representatives 46,Yes
"Hatcher, Tom",Tom Hatcher (Republican of Maryville),Republican,Maryville,Campaign Account,No,,No
"Briggs, Richard",Richard Briggs (Republican of Knoxville),Republican,Knoxville,Campaign Account,Yes,Senate District 7,Yes
"Reneau, Michele",Michele Reneau (Republican of Signal Mountain),Republican,Signal Mountain,Campaign Account,Yes,House of Representatives 27,Yes
"Johnson, Jack",Jack Johnson (Republican of Franklin),Republican,Franklin,Campaign Account,Yes,Senate District 27,Yes
"Kyle, Sara",Sara Kyle (Democrat of Memphis),Democrat,Memphis,Campaign Account,Yes,Senate District 30,No
"McCalmon, Jacob",Jacob McCalmon (Republican of Brentwood),Republican,Brentwood,Pac,No,,No
"Sexton, Cameron",Cameron Sexton (Republican of Crossville),Republican,Crossville,Pac,Yes,House of Representatives 25,Yes
