politician_key,display_name,party,city,account_type,current_elected,current_seat,running_in_2026
"Wang, John",John Wang (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Hale, Stephen Lee",Stephen Lee Hale (Republican of Rossville),Republican,Rossville,Campaign Account,No,,No
"Brewer, Troy",Troy Brewer (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Wallace, Jennifer Buck",Jennifer Buck Wallace (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Cuellar, Diana",Diana Cuellar (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Fotopulos, Stephen",Stephen Fotopulos (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Summerville, Jim",Jim Summerville (Republican of Dickson),Republican,Dickson,Campaign Account,No,,No
"Burnett, Matthew",Matthew Burnett (Republican of Springfield),Republican,Springfield,Campaign Account,No,,No
"Odom, Gary",Gary Odom (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Roach, Dennis (Coach)",Dennis Roach (Coach),Republican,Rutledge,Campaign Account,No,,No
"Nolan, Caitlin",Caitlin Nolan (Republican of Oak Ridge),Republican,Oak Ridge,Campaign Account,No,,No
"Puttbrese, Brandon J.",Brandon J. Puttbrese (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Harwell, Beth Halteman",Beth Halteman Harwell (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Crangle, Tommy F.",Tommy F. Crangle (Republican of Signal Mountain),Republican,Signal Mountain,Campaign Account,No,,No
"Peppers, Rick",Rick Peppers (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
"Puckett,  Steven D.",Steven D. Puckett (Democrat of Hendersonville),Democrat,Hendersonville,Campaign Account,No,,No
"Reed, Candace",Candace Reed (Democrat of Lebanon),Democrat,Lebanon,Campaign Account,No,,No
"Daniel, Jack",Jack Daniel (Republican of Huntland),Republican,Huntland,Campaign Account,No,,No
"Orndorff, Chris",Chris Orndorff (Republican of Springfield),Republican,Springfield,Campaign Account,No,,No
"Walsh, Mike",Mike Walsh (Democrat of Cookeville),Democrat,Cookeville,Campaign Account,No,,No
"Gross, Tony",Tony Gross (Democrat of Kingston Springs),Democrat,Kingston Springs,Campaign Account,No,,No
"Mancini, Mary",Mary Mancini (Democrat of Nashville),Democrat,Nashville,Campaign Account,No,,No
"Swallows, Matt",Matt Swallows (Republican of Cookeville),Republican,Cookeville,Campaign Account,No,,No
"Haynes, Ryan",Ryan Haynes (Republican of Knoxville),Republican,Knoxville,Campaign Account,No,,No
"Campbell, William S. (Bill)",William S. Campbell (Bill),Democrat,Murfreesboro,Campaign Account,No,,No
"McRoy, Eric",Eric McRoy (Democrat of Red Bank),Democrat,Red Bank,Campaign Account,No,,No
"Lamb, Randy",Randy Lamb (Democrat of Jackson),Democrat,Jackson,Campaign Account,No,,No
"York, Tim",Tim York (Independent of Jackson),Independent,Jackson,Campaign Account,No,,No
"Patton, Johnny R.",Johnny R. Patton (Democrat of Camden),Democrat,Camden,Campaign Account,No,,No
"White, Wayne",Wayne White (Republican of Cumberland Furnace),Republican,Cumberland Furnace,Campaign Account,No,,No
"Mason, Brian L.",Brian L. Mason (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Steakley, William Gary",William Gary Steakley (Republican of Cookeville),Republican,Cookeville,Campaign Account,No,,No
"Cobb, James",James Cobb (Republican of Spring City),Republican,Spring City,Campaign Account,No,,No
"Cochran, Jerome",Jerome Cochran (Republican of Elizabethton),Republican,Elizabethton,Campaign Account,No,,No
"Hammond, Cherie",Cherie Hammond (Republican of Franklin),Republican,Franklin,Campaign Account,No,,No
"Aljabbary, Mwafaq",Mwafaq Aljabbary (Republican of Antioch),Republican,Antioch,Campaign Account,No,,No
"Holleman, Jason",Jason Holleman (Democrat of Riddleton),Democrat,Riddleton,Campaign Account,No,,No
"Forbes, Joshua",Joshua Forbes (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Dunham, Robert F.",Robert F. Dunham (Republican of Sparta),Republican,Sparta,Campaign Account,No,,No
"Gray, Thomas",Thomas Gray (Republican of Elizabethton),Republican,Elizabethton,Campaign Account,No,,No
"Franklin, Todd Mitchell",Todd Mitchell Franklin (Republican of Jonesborough),Republican,Jonesborough,Campaign Account,No,,No
"Herron, Roy",Roy Herron (Democrat of Dresden),Democrat,Dresden,Campaign Account,No,,No
"Tidwell, John",John Tidwell (Democrat of New Johnsonville),Democrat,New Johnsonville,Campaign Account,No,,No
"Brewer, William Brock",William Brock Brewer (Republican of Greenbrier),Republican,Greenbrier,Campaign Account,No,,No
"Rounds, Harold",Harold Rounds (Republican of Oakland),Republican,Oakland,Campaign Account,No,,No
"Stout, William Clayton",William Clayton Stout (Republican of Johnson City),Republican,Johnson City,Campaign Account,No,,No
"Kyle, Jim",Jim Kyle (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Svadba, Keith",Keith Svadba (Republican of Northfield),Republican,Northfield,Campaign Account,No,,No
"McKamey, William H. (John)",William H. McKamey (John),Democrat,Piney Flats,Campaign Account,No,,No
"Neergaard, Misty",Misty Neergaard (Democrat of Oak Ridge),Democrat,Oak Ridge,Campaign Account,No,,No
"Williams, W. Kent",W. Kent Williams (Independent of Elizabethton),Independent,Elizabethton,Pac,No,,No
"Smotherman, Eddie",Eddie Smotherman (Republican of Murfreesboro),Republican,Murfreesboro,Campaign Account,No,,No
"Kernell, Mike",Mike Kernell (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
"Gore, Kristopher",Kristopher Gore (Democrat of Mcminnville),Democrat,Mcminnville,Campaign Account,No,,No
"White, Sr., Charles W.","Sr., Charles W. White (Republican of Red Bank)",Republican,Red Bank,Campaign Account,No,,No
"Dickerson, Luke E.",Luke E. Dickerson (Democrat of Murfreesboro),Democrat,Murfreesboro,Campaign Account,No,,No
"Williams, Mike R.",Mike R. Williams (Democrat of Smyrna),Democrat,Smyrna,Campaign Account,No,,No
"Enfield, J. R.",J. R. Enfield (Independent of Kingsport),Independent,Kingsport,Campaign Account,No,,No
"Watkins, Samuel A. Arthur",Samuel A. Arthur Watkins (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"Flinn, George S.",George S. Flinn (Republican of Memphis),Republican,Memphis,Campaign Account,No,,No
"McNeill, Shane K.",Shane K. McNeill (Republican of Thompsons Station),Republican,Thompsons Station,Campaign Account,No,,No
"Brady, Sterlina Inez",Sterlina Inez Brady (Republican of Nashville),Republican,Nashville,Campaign Account,No,,No
"Cain, Vicki C.",Vicki C. Cain (Democrat of Lewisburg),Democrat,Lewisburg,Campaign Account,No,,No
"Turner, Michael L. (Mike)",Michael L. Turner (Mike),Democrat,Old Hickory,Campaign Account,No,,No
"Dean, Vince",Vince Dean (Republican of East Ridge),Republican,East Ridge,Campaign Account,No,,No
"Moore, Kermit",Kermit Moore (Democrat of Memphis),Democrat,Memphis,Campaign Account,No,,No
