company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
United Healthcare,1702500.0,842500.0,385000.0,252000.0,152000.0,152000.0,152000.0,152000.0,152000.0,114500.0,37000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,,
Tennessee Association of Realtors,1700500.0,1680500.0,648500.0,4000.0,4000.0,4000.0,4000.0,4000.0,300000.0,202000.0,226000.0,152000.0,152000.0,152000.0,114500.0,78000.0,152000.0,152000.0,,
Pfizer,1676000.0,1139000.0,422500.0,150000.0,130000.0,130000.0,53500.0,73500.0,451000.0,77000.0,37000.0,94500.0,57000.0,77000.0,114500.0,77000.0,77000.0,77000.0,,
Drd Management,1659000.0,1220000.0,760000.0,77000.0,93500.0,77000.0,77000.0,114500.0,77000.0,77000.0,77000.0,77000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
Verizon,1636000.0,1087500.0,722500.0,114500.0,77000.0,93500.0,150000.0,113500.0,57000.0,77000.0,77000.0,77000.0,77000.0,114500.0,152000.0,152000.0,152000.0,152000.0,,
Southern Company Gas,1635000.0,1257500.0,497500.0,37000.0,37000.0,37000.0,152000.0,114500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,114500.0,77000.0,77000.0,77000.0,,https://www.southerncompany.com/about/our-companies.html
Tennessee County Commissioners Association,1619500.0,1136000.0,589000.0,130000.0,130000.0,130000.0,0.0,93500.0,93500.0,93500.0,114500.0,131000.0,114500.0,131000.0,114500.0,114500.0,114500.0,114500.0,,
SAS Institute ,1605500.0,804000.0,399000.0,134000.0,171500.0,221500.0,156000.0,118500.0,81000.0,81000.0,81000.0,81000.0,81000.0,81000.0,81000.0,81000.0,79000.0,77000.0,,
Novartis,1604500.0,932500.0,381500.0,152000.0,135000.0,154000.0,116500.0,114500.0,152000.0,118500.0,81000.0,118500.0,81000.0,81000.0,77500.0,61000.0,81000.0,81000.0,,
Service Employees International Union,1597500.0,895000.0,304000.0,94500.0,152000.0,152000.0,152000.0,152000.0,152000.0,114500.0,20500.0,152000.0,152000.0,152000.0,152000.0,0.0,0.0,0.0,,
Tennessee911,1593500.0,1362500.0,810000.0,0.0,0.0,77000.0,77000.0,77000.0,77000.0,114500.0,152000.0,114500.0,94500.0,202000.0,152000.0,152000.0,152000.0,152000.0,,
Beacon Center of Tennessee,1593000.0,1542000.0,1104500.0,2000.0,4000.0,4000.0,4000.0,37000.0,20500.0,20500.0,147500.0,114000.0,135000.0,171500.0,209000.0,259000.0,259000.0,206000.0,,
